Selling Order ID,Customer ID,Team ID,Date,Shipping Address,Money Amount,Order Status
969045,350467,5,2023-08-11 16:24:07.236,Port of Valencia,361955,Delivered
681488,556556,5,2023-08-13 15:40:42.211,Port of Hong Kong,183883,Delivered
167400,474146,5,2023-08-15 14:57:17.186,Port of Rotterdam,368394,Delivered
910736,597398,5,2023-08-17 14:13:52.161,Port of Qingdao,162547,Delivered
668537,937017,1,2023-08-19 13:30:27.136,Port of Ningbo-Zhoushan,436393,Delivered
413411,323393,1,2023-08-21 12:47:02.111,Port of New York and New Jersey,84754,Delivered
698908,815450,3,2023-08-23 12:03:37.085,Port of Shanghai,276814,Delivered
560198,568371,3,2023-08-25 11:20:12.060,Port of Qingdao,287714,Delivered
518106,302168,1,2023-08-27 10:36:47.035,Port of Shanghai,192483,Delivered
822289,447570,3,2023-08-29 09:53:22.010,Port of Ningbo-Zhoushan,183983,Delivered
438292,301130,3,2023-08-31 09:09:56.985,Port of Dubai,264835,Delivered
987790,140398,1,2023-09-02 08:26:31.960,Port of Los Angeles,451896,Delivered
409211,280590,3,2023-09-04 07:43:06.935,Port of Dubai,134896,Delivered
938370,947566,5,2023-09-06 06:59:41.910,Port of Guangzhou,121295,Delivered
846353,290812,3,2023-09-08 06:16:16.884,Port of Shanghai,269686,Delivered
914947,372776,5,2023-09-10 05:32:51.859,Port of Dubai,412833,Delivered
627464,194058,5,2023-09-12 04:49:26.834,Port of Singapore,323255,Delivered
976738,899224,3,2023-09-14 04:06:01.809,Port of Tianjin,349648,Delivered
887705,378761,3,2023-09-16 03:22:36.784,Port of New York and New Jersey,182874,Delivered
142127,195690,3,2023-09-18 02:39:11.759,Port of Dubai,58155,Delivered
941956,975706,1,2023-09-20 01:55:46.734,Port of Ningbo-Zhoushan,351528,Delivered
156207,298910,3,2023-09-22 01:12:21.709,Port of Ningbo-Zhoushan,424705,Delivered
453864,887045,3,2023-09-24 00:28:56.683,Port of Rotterdam,97254,Delivered
146906,943671,5,2023-09-25 23:45:31.658,Port of Hamburg,334062,Delivered
128077,815233,3,2023-09-27 23:02:06.633,Port of Singapore,135981,Delivered
226153,379121,3,2023-09-29 22:18:41.608,Port of Shanghai,80306,Delivered
308562,333771,3,2023-10-01 21:35:16.583,Port of Singapore,197718,Delivered
316688,107593,3,2023-10-03 20:51:51.558,Port of Hong Kong,358987,Delivered
108010,725681,3,2023-10-05 20:08:26.533,Port of Ningbo-Zhoushan,170975,Delivered
630583,269137,3,2023-10-07 19:25:01.508,Port of Dubai,408745,Delivered
358218,583308,3,2023-10-09 18:41:36.482,Port of Valencia,157512,Delivered
839031,791072,3,2023-10-11 17:58:11.457,Port of Tianjin,197443,Delivered
661009,445190,3,2023-10-13 17:14:46.432,Port of Hamburg,423616,Delivered
142903,367681,5,2023-10-15 16:31:21.407,Port of Hamburg,183121,Delivered
722993,134987,3,2023-10-17 15:47:56.382,Port of Los Angeles,212688,Delivered
428985,249840,3,2023-10-19 15:04:31.357,Port of Singapore,415871,Delivered
913259,970677,1,2023-10-21 14:21:06.332,Port of Valencia,425037,Delivered
858257,183371,3,2023-10-23 13:37:41.307,Port of Ningbo-Zhoushan,333076,Delivered
317681,930375,3,2023-10-25 12:54:16.281,Port of Rotterdam,167796,Delivered
257405,956237,1,2023-10-27 12:10:51.256,Port of Qingdao,341999,Delivered
465496,872941,5,2023-10-29 11:27:26.231,Port of Singapore,242506,Shipped
241176,920756,5,2023-10-31 10:44:01.206,Port of Hamburg,224088,Shipped
540437,797478,1,2023-11-02 10:00:36.181,Port of Busan,319544,Delivered
398634,592481,5,2023-11-04 09:17:11.156,Port of Hong Kong,430002,Shipped
194324,420860,3,2023-11-06 08:33:46.131,Port of New York and New Jersey,223714,Delivered
952666,258737,1,2023-11-08 07:50:21.106,Port of Shanghai,65151,Shipped
638369,948314,5,2023-11-10 07:06:56.080,Port of Dubai,494623,Delivered
725045,748147,5,2023-11-12 06:23:31.055,Port of Shanghai,116690,Shipped
256116,197834,5,2023-11-14 05:40:06.030,Port of Antwerp,54499,Shipped
452716,523863,3,2023-11-16 04:56:41.005,Port of Antwerp,56295,Shipped
925485,785355,5,2023-11-18 04:13:15.980,Port of Dubai,433029,Shipped
782213,386906,1,2023-11-20 03:29:50.955,Port of Shanghai,438215,Shipped
279514,572086,3,2023-11-22 02:46:25.930,Port of Dubai,371184,Shipped
613098,926669,3,2023-11-24 02:03:00.905,Port of Valencia,324327,Shipped
299542,602063,1,2023-11-26 01:19:35.879,Port of Los Angeles,472515,Shipped
814645,423114,3,2023-11-28 00:36:10.854,Port of Shanghai,193946,Shipped
793337,835667,3,2023-11-29 23:52:45.829,Port of Antwerp,428480,Shipped
564176,690466,3,2023-12-01 23:09:20.804,Port of Qingdao,82711,Shipped
410038,719756,3,2023-12-03 22:25:55.779,Port of Singapore,317683,Shipped
499002,329811,5,2023-12-05 21:42:30.754,Port of Guangzhou,234423,Shipped
891305,856608,3,2023-12-07 20:59:05.729,Port of Qingdao,229426,Shipped
832216,322427,1,2023-12-09 20:15:40.704,Port of New York and New Jersey,438207,Shipped
890222,246371,3,2023-12-11 19:32:15.678,Port of Hamburg,183629,Cancelled
714524,394195,3,2023-12-13 18:48:50.653,Port of Hong Kong,350504,Shipped
174185,460412,1,2023-12-15 18:05:25.628,Port of Busan,263090,Shipped
898368,375278,5,2023-12-17 17:22:00.603,Port of Shanghai,183272,Shipped
719136,248306,5,2023-12-19 16:38:35.578,Port of Dubai,293548,Shipped
663677,783863,1,2023-12-21 15:55:10.553,Port of Rotterdam,228047,Shipped
459175,404870,1,2023-12-23 15:11:45.528,Port of Valencia,333501,Shipped
483274,272986,3,2023-12-25 14:28:20.503,Port of Hong Kong,169121,Shipped
184782,675512,3,2023-12-27 13:44:55.477,Port of Hamburg,127505,Shipped
265198,591074,3,2023-12-29 13:01:30.452,Port of Guangzhou,52869,Shipped
468599,500841,3,2023-12-31 12:18:05.427,Port of Guangzhou,307186,Shipped
117113,921901,1,2024-01-02 11:34:40.402,Port of Singapore,362252,Shipped
916570,636192,3,2024-01-04 10:51:15.377,Port of Hong Kong,162296,Shipped
939671,742574,3,2024-01-06 10:07:50.352,Port of Rotterdam,144179,Shipped
929952,558063,3,2024-01-08 09:24:25.327,Port of Tianjin,140272,Shipped
908765,653265,3,2024-01-10 08:41:00.302,Port of Los Angeles,88467,Shipped
741878,608971,1,2024-01-12 07:57:35.276,Port of Antwerp,335472,Shipped
953622,601025,1,2024-01-14 07:14:10.251,Port of Hong Kong,403556,Shipped
132370,511694,5,2024-01-16 06:30:45.226,Port of Ningbo-Zhoushan,185059,Shipped
501309,708983,5,2024-01-18 05:47:20.201,Port of New York and New Jersey,108871,Shipped
814630,540513,1,2024-01-20 05:03:55.176,Port of Antwerp,465615,Shipped
735570,142238,1,2024-01-22 04:20:30.151,Port of Valencia,178391,Shipped
883614,214995,5,2024-01-24 03:37:05.126,Port of Shanghai,489430,Shipped
881419,148455,5,2024-01-26 02:53:40.101,Port of Valencia,136416,Shipped
434500,282487,3,2024-01-28 02:10:15.075,Port of Singapore,382415,Shipped
778195,143668,3,2024-01-30 01:26:50.050,Port of Busan,356208,Cancelled
887734,245338,5,2024-02-01 00:43:25.025,Port of Singapore,306687,Shipped
684943,220910,5,2024-02-03 00:00:00.000,Port of Singapore,251163,Shipped
